"[""Total Salaries"", ""$66,913,862""]","[""Total Salaries (Cap)"", ""$65,513,862""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$58,183,391""]","[""Total Salaries (Cap)"", ""$46,368,779""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$89,274,682""]","[""Total Salaries (Cap)"", ""$88,249,548""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$103,285,007""]","[""Total Salaries (Cap)"", ""$103,620,024""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$85,238,838""]","[""Total Salaries (Cap)"", ""$84,310,368""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$73,502,681""]","[""Total Salaries (Cap)"", ""$74,590,100""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$70,301,084""]","[""Total Salaries (Cap)"", ""$70,999,638""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$58,601,257""]","[""Total Salaries (Cap)"", ""$59,566,109""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$68,146,670""]","[""Total Salaries (Cap)"", ""$55,823,185""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$42,102,042""]","[""Total Salaries (Cap)"", ""$42,102,042""]","[""Total Salaries (Tax)"", ""$0""]"
